tenant_id,tenant_type,total_rent,is_particular,is_entreprise,monthly_income,monthly_charge,debt,professional_experience,children_number,persons_dependents,contract_type,occupational_function,lease_amount,lease_status,pay_day,penalty,rental_charge,fees_included,lease_duration_days,lease_is_active,fees_included_flag,total_amount_owed,has_had_penalties,payment_count_3m,avg_payment_amount_3m,total_payment_amount_3m,payment_consistency_3m,min_payment_amount_3m,max_payment_amount_3m,payment_success_rate_3m,late_payment_count_3m,avg_days_late_3m,max_days_late_3m,total_late_amount_3m,observation_date,future_invoice_count,target
a2538a73-9c86-41d7-af9b-dbddddaca654,Particular,1,1,0,170000.0,444320.0,1635.0,10,4,4,Informel,investor intranet orchestrator,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2024-06-30,1,1
46573e2f-6d89-4361-8e3a-c709b75cc355,Enterprise,1,0,0,195000.0,169745.0,209555.0,17,8,7,Informel,national web administrator,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,1,8904280.0,8904280.0,0.0,8904280.0,8904280.0,1.0,0,0.0,0.0,0.0,2024-10-28,0,0
1b97fd90-b375-40d3-9e7f-cd28fd8fadd1,Enterprise,1,0,0,175000.0,149960.0,290275.0,30,6,3,CDD,regional metrics officer,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,5,193960.0,969800.0,0.0,193960.0,193960.0,1.0,0,0.0,0.0,0.0,2024-04-01,0,0
b9cd3ab7-2386-4ad9-8023-3e924a7dd129,Enterprise,1,0,0,610000.0,755680.0,664630.0,20,6,6,Independant,corporate markets director,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,5,1102912.0,5514560.0,0.0,1102912.0,1102912.0,1.0,0,0.0,0.0,0.0,2024-03-02,0,0
da2228b2-aa7d-40a2-ac67-e7c167b771a3,Enterprise,1,0,0,140000.0,122570.0,43655.0,17,5,7,Informel,internal integration architect,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2024-05-01,0,0
fa0dae34-55d1-4a3b-9075-24bf2af40ecb,Particular,1,1,0,480000.0,1165320.0,739025.0,15,5,6,CDI,future response facilitator,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2024-07-30,1,1
74a3cb84-9e4b-492f-aa91-6d69cca12bb9,Enterprise,1,0,0,430000.0,753590.0,517980.0,15,2,1,CDI,customer marketing planner,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,1,931880.0,931880.0,0.0,931880.0,931880.0,1.0,0,0.0,0.0,0.0,2024-10-28,0,0
d99df417-75a4-4bf2-9dbe-8a6d79e709a0,Enterprise,1,0,0,505000.0,628530.0,482830.0,35,5,6,Fonctionnaire,national group consultant,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2024-07-30,1,1
89013a7f-fa2c-451d-8d41-38609e6b59a2,Enterprise,1,0,0,145000.0,293735.0,235645.0,13,8,5,CDI,product response producer,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2024-06-30,1,1
60ecb3e3-5eba-4bd7-9234-0709064cd283,Enterprise,1,0,0,350000.0,744205.0,342030.0,23,6,2,Interim,district accountability facilitator,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2024-07-30,1,1
fc7aa6cd-64b9-42c3-811d-3202f509e141,Enterprise,1,0,0,720000.0,689555.0,1128725.0,34,10,2,CDD,international applications strategist,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,1,8904280.0,8904280.0,0.0,8904280.0,8904280.0,1.0,0,0.0,0.0,0.0,2024-10-28,0,0
4c44c5f3-ca5e-4f31-b62a-fa35b72ba4f3,Particular,1,1,0,240000.0,208015.0,344215.0,25,7,6,CDD,product factors representative,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,1,4044165.0,4044165.0,0.0,4044165.0,4044165.0,1.0,0,0.0,0.0,0.0,2024-09-28,0,0
fc7aa6cd-64b9-42c3-811d-3202f509e141,Enterprise,1,0,0,720000.0,689555.0,1128725.0,34,10,2,CDD,international applications strategist,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,1,8904280.0,8904280.0,0.0,8904280.0,8904280.0,1.0,0,0.0,0.0,0.0,2024-08-29,0,0
b9cd3ab7-2386-4ad9-8023-3e924a7dd129,Enterprise,1,0,0,610000.0,755680.0,664630.0,20,6,6,Independant,corporate markets director,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,5,1102912.0,5514560.0,0.0,1102912.0,1102912.0,1.0,0,0.0,0.0,0.0,2024-02-01,0,0
cb942829-d6b6-497f-b410-1a98a010c9be,Enterprise,1,0,0,110000.0,133910.0,8500.0,3,10,2,Informel,product marketing producer,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,1,11197250.0,11197250.0,0.0,11197250.0,11197250.0,1.0,0,0.0,0.0,0.0,2024-08-29,0,0
bf167c1e-1728-4d17-b840-a93bda0f3889,Particular,1,1,0,290000.0,967985.0,110880.0,9,0,4,Independant,forward quality facilitator,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2024-07-30,1,1
551d7e32-401c-4d02-bd01-61c8d5f46099,Enterprise,1,0,0,320000.0,780465.0,442020.0,32,9,2,CDD,regional usability producer,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2024-05-31,1,1
ae77b6b4-07f4-4287-ae34-4f89fdfa64d7,Particular,1,1,0,1400000.0,192880.0,2791645.0,6,10,1,Independant,global implementation representative,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,1,654350.0,654350.0,0.0,654350.0,654350.0,1.0,0,0.0,0.0,0.0,2024-08-29,0,0
062d3ed1-0d9c-47cb-b29a-4df1001eb1d5,Enterprise,1,0,0,280000.0,21755.0,293445.0,22,1,7,CDD,legacy program specialist,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,1,969800.0,969800.0,0.0,969800.0,969800.0,1.0,0,0.0,0.0,0.0,2024-10-28,0,0
63672cbc-565f-47ff-b6f4-683843aa5407,Enterprise,1,0,0,200000.0,109655.0,22450.0,20,1,6,Etudiant,regional markets facilitator,0.0,Unknown,0,0,0.0,,0,0,0,0.0,0,5,180603.0,903015.0,0.0,180603.0,180603.0,1.0,0,0.0,0.0,0.0,2024-02-01,0,0
